drug_id,ema_code,name,manufacturer
1,EMA-000001,Abacavir Accord,Accord Healthcare S.L.U.
2,EMA-000002,Abacavir+lamivudine Mylan Pharma,Mylan Pharmaceuticals Limited
3,EMA-000003,Abelfiz,Pharmazac Sa
4,EMA-000004,Abesyl,Medochemie Hellas Sa
5,EMA-000005,Abinone,Innovis Pharma
6,EMA-000006,Abiprostem,Demo Abee
7,EMA-000007,Abiraterone Ariti,Ariti Sa
8,EMA-000008,Abiraterone Faran,Faran S.A.
9,EMA-000009,Abiraterone Pharmazac,Pharmazac Sa
10,EMA-000010,Abiraterone Rafarm,Rafarm Sa.
11,EMA-000011,Abiraterone Sandoz,Sandoz Pharmaceuticals D.D.
12,EMA-000012,Abiraterone Stada,Stada Arzneimittel Ag
13,EMA-000013,Abiraterone Teva,Teva B.V
14,EMA-000014,Abiraterone Vocate,Vocate Φαρμακευτικη Αε
15,EMA-000015,Aboxoma,"Krka, D.D., Novo Mesto"
16,EMA-000016,Abrobion,Help Abee
17,EMA-000017,Absken,Win Medica Sa
18,EMA-000018,Abstral,Grünenthal Gmbh
19,EMA-000019,Abszess-Ilon,Accelere Pharm V Rousinos And Co G.P
20,EMA-000020,Accusol 35,Ariti Sa
21,EMA-000021,Accusol 35 Potassium,Ariti Sa
22,EMA-000022,Accusol 35 Potassium,Ariti Sa
23,EMA-000023,Accu-Thyrox,Galenica Sa
24,EMA-000024,Aceclonac,Verisfield S.M.S.A
25,EMA-000025,Acelopam,Pharma Therapis Single Member Pc
26,EMA-000026,Acetazolamide Ι.Φ.Ε.Τ.,Institute Of Pharmaceutical Research And Technology Sa
27,EMA-000027,Aciclovir Vocate,Vocate Φαρμακευτικη Αε
28,EMA-000028,Acidwell,Sandoz Gmbh
29,EMA-000029,Acifer,Galenica Sa
30,EMA-000030,Acinic,Adelco Chromatourgia Athinon E Colocotronis Bros Sa
31,EMA-000031,Aclonia,Pharmathen S.A.
32,EMA-000032,Acmefront,Verisfield S.M.S.A
33,EMA-000033,Acnatac,Viatris Healthcare Limited
34,EMA-000034,Acne Hermal,Galenica Sa
35,EMA-000035,Acneryz-Cure,Nassington Ltd
36,EMA-000036,Acnesyn,Syndesmos S.A. - Pharmaceutical Wholesalers
37,EMA-000037,Acnevul,Verisfield S.M.S.A
38,EMA-000038,A-Cnotren,Pharmathen Investments Group Limited
39,EMA-000039,Act-Hib,Sanofi Winthrop Industrie
40,EMA-000040,Actibon,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
41,EMA-000041,Actibon,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
42,EMA-000042,Actiker,Verisfield S.M.S.A
43,EMA-000043,Actilyse,Boehringer Ingelheim Hellas Single Member S.A.
44,EMA-000044,Actilyse Cathflo,Boehringer Ingelheim Hellas Single Member S.A.
45,EMA-000045,Actiq,Teva Pharma B.V.
46,EMA-000046,Actonel,Innovis Pharma
47,EMA-000047,Actonel «2 Συνεχόμενεσ Ημέρεσ Το Μήνα»,Innovis Pharma
48,EMA-000048,Actonel Gr,Innovis Pharma
49,EMA-000049,Actonel Oaw/«μία Φορά Την Εβδομάδα»,Innovis Pharma
50,EMA-000050,Acular,Abbvie Pharmaceuticals S.A.
51,EMA-000051,Adaferin,Galderma International
52,EMA-000052,Adapalene + Benzoyl Peroxide Laboratoires Medgen,Laboratoires Medgen
53,EMA-000053,Adapton D,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
54,EMA-000054,Adaptoplast,Vican S.A.
55,EMA-000055,Adaptoplast Callous Caps,Vican S.A.
56,EMA-000056,Addamel-N New,Fresenius Kabi Hellas Single Member S.A.
57,EMA-000057,Adefocin,Adelco Chromatourgia Athinon E Colocotronis Bros Sa
58,EMA-000058,Adefocin,Adelco Chromatourgia Athinon E Colocotronis Bros Sa
59,EMA-000059,Adelcort®,Adelco Chromatourgia Athinon E Colocotronis Bros Sa
60,EMA-000060,Adelone,Cooper Pharmaceuticals S.A.
61,EMA-000061,Adenorythm,Vianex S.A.
62,EMA-000062,Adeprenal,Adelco Chromatourgia Athinon E Colocotronis Bros Sa
63,EMA-000063,Adicanil,Innovis Pharma
64,EMA-000064,Adifen,Medicamerc Pharmaceuticals S.A
65,EMA-000065,Adifen 10mg,Medicamerc Pharmaceuticals S.A
66,EMA-000066,Adimuplan,Sandoz Pharmaceuticals D.D.
67,EMA-000067,Admiral,Sja Pharm Ltd
68,EMA-000068,Adovia,Medochemie Hellas Sa
69,EMA-000069,Adrenaline Demo,Demo Abee
70,EMA-000070,Adrenaline Injection Ariti,Ariti Sa
71,EMA-000071,Adriblastina,Pfizer Hellas A.E.
72,EMA-000072,Adrotan,Win Medica Sa
73,EMA-000073,Adtreat,Provident Pharmaceuticals Ltd
74,EMA-000074,Advantan,Leo Pharma A/S
75,EMA-000075,Advil,Haleon Hellas Single Member Societe Anonyme
76,EMA-000076,Advil Forte,Haleon Hellas Single Member Societe Anonyme
77,EMA-000077,Aerolin,Glaxosmithkline Single Member A.E.B.E.
78,EMA-000078,Aerolin,Glaxosmithkline Single Member A.E.B.E.
79,EMA-000079,Aetopia,Pharmathen S.A.
80,EMA-000080,Aetopia,Pharmathen S.A.
81,EMA-000081,Afimax,Faran S.A.
82,EMA-000082,Aflen,Galenica Sa
83,EMA-000083,Afloxol,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
84,EMA-000084,Afloxol,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
85,EMA-000085,Afluon,Cooper Consumer Health B.V.
86,EMA-000086,Agardon,Elpen Pharmaceutical Co. Inc.
87,EMA-000087,Agelmin,Kleva Pharmaceuticals
88,EMA-000088,Aggrastat,Vianex S.A.
89,EMA-000089,Agilinta,Libytec Pharmaceutical S.A.
90,EMA-000090,Aicisi,Omnivision Gmbh
91,EMA-000091,Aidol,Iasis Pharma
92,EMA-000092,Aircodos,Genepharm S.A.
93,EMA-000093,Akineton,Desma Gmbh
94,EMA-000094,Akineton,Desma Gmbh
95,EMA-000095,Akivass,Medochemie Hellas Sa
96,EMA-000096,Akratol,Rafarm Sa.
97,EMA-000097,Alapril,Raldex Enterprises Ltd
98,EMA-000098,Albendol,Vianex S.A.
99,EMA-000099,Albiomin,Biotest Pharma Gmbh
100,EMA-000100,Albumeon,Csl Behring E.P.E.
101,EMA-000101,Albumeon,Csl Behring E.P.E.
102,EMA-000102,Albumine Lfb,Vianex S.A.
103,EMA-000103,Alburex,Csl Behring Gmbh
104,EMA-000104,Albutein,Demo Abee
105,EMA-000105,Alcaine,Alcon Laboratories Hellas- Single Member S.A.C.I
106,EMA-000106,Alcinin,Innovis Pharma
107,EMA-000107,Aldactone,Pfizer Hellas A.E.
108,EMA-000108,Alerxem,Kleva Pharmaceuticals
109,EMA-000109,Alerxem,Kleva Pharmaceuticals
110,EMA-000110,Alestopor,Bennett Pharmaceuticals Sa
111,EMA-000111,Alevior,Medicair Bioscience Laboratories Ανωνυμη Φαρμακευτικη Εταιρεια
112,EMA-000112,Alfagem,Medochemie Hellas Sa
113,EMA-000113,Alfudex,Bioneuron Pharmaceuticals Ltd
114,EMA-000114,Alfural Pr,Rafarm Sa.
115,EMA-000115,Alfuzin,Ariti Sa
116,EMA-000116,Algecia,Elpen Pharmaceutical Co. Inc.
117,EMA-000117,Algesal Suractive,Pharmaselect International Beteiligungs Gmbh
118,EMA-000118,Algine,Adelco Chromatourgia Athinon E Colocotronis Bros Sa
119,EMA-000119,Algocit,Demo Abee
120,EMA-000120,Algofren,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
121,EMA-000121,Algofren,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
122,EMA-000122,Algofren,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
123,EMA-000123,Algofren Compositum,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
124,EMA-000124,Algofrenelle,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
125,EMA-000125,Algon,Lavipharm S.A
126,EMA-000126,Algopress,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
127,EMA-000127,Algotra,Anabiosis S.A.
128,EMA-000128,Alkacitrat,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
129,EMA-000129,Allegra,Opella Healthcare Greece Single Member Ltd.
130,EMA-000130,Allegra Hives,Opella Healthcare Greece Single Member Ltd.
131,EMA-000131,Allergotin,Cooper Pharmaceuticals S.A.
132,EMA-000132,Allergotin Plus,Cooper Pharmaceuticals S.A.
133,EMA-000133,Alluzience,Ipsen Pharma
134,EMA-000134,Almerzac,Pharmazac Sa
135,EMA-000135,Almogran,"Almirall, S.A."
136,EMA-000136,Alopatan,Cooper Pharmaceuticals S.A.
137,EMA-000137,Aloperidin,Essential Pharma Limited
138,EMA-000138,Aloperidin,Essential Pharma Limited
139,EMA-000139,Aloperidin Decanoas,Essential Pharma Limited
140,EMA-000140,Aloperidin Decanoas,Janssen-Cilag Pharmaceutical S.A.C.I.
141,EMA-000141,Alopexy,Pierre Fabre Farmaka Sa
142,EMA-000142,Alopril,Pharmabelle Ltd
143,EMA-000143,Alpha - Plus,Genepharm S.A.
144,EMA-000144,Alphacal,Energon Pharmaceuticals Ltd
145,EMA-000145,Alphagan,Abbvie Pharmaceuticals S.A.
146,EMA-000146,Alphazol,Vocate Φαρμακευτικη Αε
147,EMA-000147,Alpider,Lamda Laboratories S.A.
148,EMA-000148,Alprazolam Aurobindo,Aurobindo Pharma (Malta) Limited
149,EMA-000149,Alprazolam Grindeks,Grindeks
150,EMA-000150,Alsteride,Viofar Ltd
151,EMA-000151,Altermon,Faran S.A.
152,EMA-000152,Altoram,Libytec Pharmaceutical S.A.
153,EMA-000153,Aludrox,Haleon Hellas Single Member Societe Anonyme
154,EMA-000154,Alvesco,Covis Pharma Europe B.V.
155,EMA-000155,Alvidor,Rafarm Sa.
156,EMA-000156,Alvoda,Pharmazac Sa
157,EMA-000157,Alvofer,Cooper Pharmaceuticals S.A.
158,EMA-000158,Alzirax,Rafarm Sa.
159,EMA-000159,Amarhyton,Swyssi Ag
160,EMA-000160,Ambicipen,Elpen Pharmaceutical Co. Inc.
161,EMA-000161,Ambisome Liposomal,Gilead Sciences Hellas M.E.P.E.
162,EMA-000162,Ambrisentan Accord,Accord Healthcare S.L.U.
163,EMA-000163,Ambrisentan Genepharm,Genepharm S.A.
164,EMA-000164,Amelinor,Medical Pharmaquality Pharmaceuticals S.A.
165,EMA-000165,Amibusin,Demo Abee
166,EMA-000166,Amicasil,Cooper Pharmaceuticals S.A.
167,EMA-000167,Amikacin Anfarm,Anfarm Hellas Sa
168,EMA-000168,Amikacin B. Braun,B.Braun Melsungen Ag
169,EMA-000169,Amikacin Kabi,Fresenius Kabi Hellas Single Member S.A.
170,EMA-000170,Amikacin Kleva,Kleva Pharmaceuticals
171,EMA-000171,Amikacin Norma,Norma Hellas S.A.
172,EMA-000172,Amilopid,Vianex S.A.
173,EMA-000173,Aminocer,Verisfield S.M.S.A
174,EMA-000174,Aminocer,Verisfield S.M.S.A
175,EMA-000175,Aminomix 1 Novum,Fresenius Kabi Hellas Single Member S.A.
176,EMA-000176,Aminophylline Cooper,Cooper Pharmaceuticals S.A.
177,EMA-000177,Amiβusin,Demo Abee
178,EMA-000178,Amlibon Bes,Sandoz Gmbh
179,EMA-000179,Amlodin,Bennett Pharmaceuticals Sa
180,EMA-000180,Amlodipine Besilate Norma,Norma Hellas S.A.
181,EMA-000181,Amlodipine Besilate Norma,Norma Hellas S.A.
182,EMA-000182,Amlodipine+valsartan Tad,Tad Pharma Gmbh
183,EMA-000183,Amlodipine+valsartan+hydrochlorothiazide Genepharm,Genepharm S.A.
184,EMA-000184,Amlodipine+valsartan+hydrochlorothiazide Tad,Tad Pharma Gmbh
185,EMA-000185,Amlopen,Elpen Pharmaceutical Co. Inc.
186,EMA-000186,Amlopress,Fos Farmakeftiki Ike
187,EMA-000187,Amlopress,Fos Farmakeftiki Ike
188,EMA-000188,Amlotens,Pharmapath Sa
189,EMA-000189,Amoduo,Win Medica Sa
190,EMA-000190,Amoxil,Glaxosmithkline Single Member A.E.B.E.
191,EMA-000191,Amoxil,Glaxosmithkline Single Member A.E.B.E.
192,EMA-000192,Amphotericin B Tillomed,Tillomed Malta Ltd
193,EMA-000193,Ampicillin Cooper,Cooper Pharmaceuticals S.A.
194,EMA-000194,Ampine,Venifar Ltd
195,EMA-000195,Ampitasol,Pharmex S.A.
196,EMA-000196,Ampres,Sintetica Gmbh
197,EMA-000197,Ampres,Sintetica Gmbh
198,EMA-000198,Anabifer,Anabiosis S.A.
199,EMA-000199,Anaboline Depot,Adelco Chromatourgia Athinon E Colocotronis Bros Sa
200,EMA-000200,Anafranil,Pharmaand Gmbh
201,EMA-000201,Anagrelide Aop,Aop Orphan Pharmaceuticals Gmbh
202,EMA-000202,Anagrelide Teva,Teva B.V
203,EMA-000203,Analept,Prime International Pharmaceuticals S.A.
204,EMA-000204,Analipin,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
205,EMA-000205,Anapen,Allertec Hellas S.A.
206,EMA-000206,Anapen Junior,Allertec Hellas S.A.
207,EMA-000207,Anaplas,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
208,EMA-000208,Anaplas,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
209,EMA-000209,Anaprox,Galenica Sa
210,EMA-000210,Anaptivan,Help Abee
211,EMA-000211,Anaquetan Xr,Anabiosis S.A.
212,EMA-000212,Anarthril,Galenica Sa
213,EMA-000213,Anastrogen,Viogen Pharmaceuticals
214,EMA-000214,Anastrozole Demo,Demo Abee
215,EMA-000215,Anastrozole Teva,Teva Pharma B.V.
216,EMA-000216,Anchopriv,Pharmabelle Ltd
217,EMA-000217,Ancilleg,Sandoz Gmbh
218,EMA-000218,Andabra,Pharmathen S.A.
219,EMA-000219,Androcur,Advanz Pharma Limited
220,EMA-000220,Androcur,Advanz Pharma Limited
221,EMA-000221,Andropecia,Laboratoires Bailleul S.A.
222,EMA-000222,Androxil,Laboratoires Bailleul S.A.
223,EMA-000223,Anefezyn,"Zentiva, K.S."
224,EMA-000224,Aneprosil,Medicair Bioscience Laboratories Ανωνυμη Φαρμακευτικη Εταιρεια
225,EMA-000225,Anexate®,Cheplapharm Arzneimittel Gmbh
226,EMA-000226,Anfozan,Proel Epam G Koronis Sa Pharmaceuticals
227,EMA-000227,Angoron,Sanofi-Aventis Monoprosopi A.E.B.E
228,EMA-000228,Angoron,Sanofi-Aventis Monoprosopi A.E.B.E
229,EMA-000229,Angusta,Azanta Danmark A/S
230,EMA-000230,Anidulafungin Accord,Accord Healthcare S.L.U.
231,EMA-000231,Anlamyl,Anfarm Hellas Sa
232,EMA-000232,Anodutil-Venu,Verisfield S.M.S.A
233,EMA-000233,Anovis,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
234,EMA-000234,Anti-Asidoz,Medice Arzneimittel Pütter Gmbh & Co. Kg
235,EMA-000235,Anticepim,Verisfield S.M.S.A
236,EMA-000236,Antichol,Help Abee
237,EMA-000237,Antilerg-F,Demo Abee
238,EMA-000238,Antipsichos,Proel Epam G Koronis Sa Pharmaceuticals
239,EMA-000239,Antis,Εξελιξη Α.Ε.
240,EMA-000240,Antivom,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
241,EMA-000241,Antizolid,Cooper Pharmaceuticals S.A.
242,EMA-000242,Antorcin,Elpen Pharmaceutical Co. Inc.
243,EMA-000243,Antorcin,Elpen Pharmaceutical Co. Inc.
244,EMA-000244,Anusfelia,Nassington Ltd
245,EMA-000245,A-Ostin-D3,Venifar Ltd
246,EMA-000246,Aova,Heremco
247,EMA-000247,Aperneva,"Krka, D.D., Novo Mesto"
248,EMA-000248,Apiclodem,Demo Abee
249,EMA-000249,Apilone,Pharmathen Investments Group Limited
250,EMA-000250,Apilone,Pharmathen Investments Group Limited
251,EMA-000251,Apinovia,Innovis Pharma
252,EMA-000252,Apixaban,Adalvo  Limited
253,EMA-000253,Apixaban Aenorasis,Aenorasis S.A.
254,EMA-000254,Apixaban Ariti,Ariti Sa
255,EMA-000255,Apixaban Ebewe,Ebewe Pharma
256,EMA-000256,Apixaban Farmaprojects,Farmaprojects S.A.U.
257,EMA-000257,Apixaban Liconsa,"Laboratorios Liconsa, S.A."
258,EMA-000258,Apixaban Mediapharm,Mediapharm Ltd
259,EMA-000259,Apixaban Medicair,Medicair Bioscience Laboratories Ανωνυμη Φαρμακευτικη Εταιρεια
260,EMA-000260,Apixaban Mylan,Mylan Pharmaceuticals Limited
261,EMA-000261,Apixaban Sandoz,Sandoz Pharmaceuticals D.D.
262,EMA-000262,Apixaban Velka,Velka Hellas S.A.
263,EMA-000263,Apleria,"Krka, D.D., Novo Mesto"
264,EMA-000264,Apo-Go Pfs,Itf Hellas S.A.
265,EMA-000265,Apo-Go Pod,Itf Hellas S.A.
266,EMA-000266,Apo-Go Συσκευή Τύπου Πένασ,Itf Hellas S.A.
267,EMA-000267,Apotel,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
268,EMA-000268,Apotel,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
269,EMA-000269,Apotel,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
270,EMA-000270,Apotel,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
271,EMA-000271,Apotel C-500,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
272,EMA-000272,Apotel Cold & Flu Day & Night,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
273,EMA-000273,Apotel Max,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
274,EMA-000274,Apotel Plus,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
275,EMA-000275,Apotel Άρωμα Espresso,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
276,EMA-000276,Apotel Εχτrα,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
277,EMA-000277,Apotel Πρόπολη,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
278,EMA-000278,Apredonav,Medochemie Hellas Sa
279,EMA-000279,Apregalin,Pharmazac Sa
280,EMA-000280,Apremilast Anabiosis,Anabiosis S.A.
281,EMA-000281,Apremilast Ebewe,Ebewe Pharma
282,EMA-000282,Apremilast Sandoz,Sandoz Pharmaceuticals D.D.
283,EMA-000283,Apremilast Stada,Stada Arzneimittel Ag
284,EMA-000284,Apremilast Teva,Teva B.V
285,EMA-000285,Apremilast Win Medica,Win Medica Sa
286,EMA-000286,Apremo,Demo Abee
287,EMA-000287,Aprepitant Win Medica,Win Medica Sa
288,EMA-000288,Aprinol,Anfarm Hellas Sa
289,EMA-000289,Aproxxamlo,Sanofi-Aventis Monoprosopi A.E.B.E
290,EMA-000290,Apsoderm,Rafarm Sa.
291,EMA-000291,Aquetia,Itf Hellas S.A.
292,EMA-000292,Aracytin,Pfizer Hellas A.E.
293,EMA-000293,Arbonid,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
294,EMA-000294,Arcoxia,Vianex S.A.
295,EMA-000295,Aregalu,"Krka, D.D., Novo Mesto"
296,EMA-000296,Arezil Xr,Tad Pharma Gmbh
297,EMA-000297,Argiodin,Elpen Pharmaceutical Co. Inc.
298,EMA-000298,Aricept,Pfizer Hellas A.E.
299,EMA-000299,Aricitol,Ariti Sa
300,EMA-000300,Arimidex,Laboratoires Juvise Pharmaceuticals
301,EMA-000301,Aripezil,Innovis Pharma
302,EMA-000302,Aripility,Sja Pharm Ltd
303,EMA-000303,Aripiprazole Genepharm,Genepharm S.A.
304,EMA-000304,Aripiprazole Stada,Stada Arzneimittel Ag
305,EMA-000305,Aripral,Venifar Ltd
306,EMA-000306,Arisppa,"Krka, D.D., Novo Mesto"
307,EMA-000307,Aristin-C,Anfarm Hellas Sa
308,EMA-000308,Arlevert,Hennig Arzneimittel Gmbh & Co. Kg
309,EMA-000309,Arlina,Rafarm Sa.
310,EMA-000310,Arogio,Elpen Pharmaceutical Co. Inc.
311,EMA-000311,Aromaplex,Genepharm S.A.
312,EMA-000312,Aromasin,Pfizer Hellas A.E.
313,EMA-000313,Aromestan,Pharmazac Sa
314,EMA-000314,Arpilif,Elpen Pharmaceutical Co. Inc.
315,EMA-000315,Arplexam,Servier Hellas Pharmaceuticals Ltd
316,EMA-000316,Arpoya,Pharmathen Investments Group Limited
317,EMA-000317,Arthrofar,Vocate Φαρμακευτικη Αε
318,EMA-000318,Arthroplus,Target Pharma Single Member Private Ltd
319,EMA-000319,Arthrorein,Vian S.A.
320,EMA-000320,Arthryal,Pharmazac Sa
321,EMA-000321,Articlox,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
322,EMA-000322,Articlox,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
323,EMA-000323,Artroxicam,Farmellas Enterprises Ltd
324,EMA-000324,Arvastatil,Vian S.A.
325,EMA-000325,Arvastatil,Vian S.A.
326,EMA-000326,Arvekap,Ipsen M.E.P.E.
327,EMA-000327,Arvekap,Ipsen M.E.P.E.
328,EMA-000328,Arvekap,Ipsen M.E.P.E.
329,EMA-000329,Asacol,"Tillotts Pharma Italy, S.R.L.,"
330,EMA-000330,Asacol,"Tillotts Pharma Italy, S.R.L.,"
331,EMA-000331,Asalazin,Farmellas Enterprises Ltd
332,EMA-000332,Asarkin,Vianex S.A.
333,EMA-000333,Ascolin,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
334,EMA-000334,Asmanex Twisthaler,N.V. Organon
335,EMA-000335,Asmanex Twisthaler,N.V. Organon
336,EMA-000336,Aspagin,Proel Epam G Koronis Sa Pharmaceuticals
337,EMA-000337,Aspendos,Medochemie Hellas Sa
338,EMA-000338,Aspirin,Bayer Hellas Sa
339,EMA-000339,Aspirin Ec,Bayer Hellas Sa
340,EMA-000340,Aspirin-C,Bayer Hellas Sa
341,EMA-000341,Assoprol,Sja Pharm Ltd
342,EMA-000342,Assoprol,Sja Pharm Ltd
343,EMA-000343,Assosept-S,Sja Pharm Ltd
344,EMA-000344,Asthmotrat,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
345,EMA-000345,Astizia,Elpen Pharmaceutical Co. Inc.
346,EMA-000346,Asto-Chol,Doc Pharma Ae
347,EMA-000347,Asugrin,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
348,EMA-000348,Atacand,Cheplapharm Arzneimittel Gmbh
349,EMA-000349,Atacand Plus,Cheplapharm Arzneimittel Gmbh
350,EMA-000350,Atama,Pharmathen S.A.
351,EMA-000351,Atanto,Pharmathen S.A.
352,EMA-000352,Atarax,Ucb A.E.
353,EMA-000353,Atentus,Lab.Newmed Pharmaceuticals Ltd
354,EMA-000354,Atentus,Lab.Newmed Pharmaceuticals Ltd
355,EMA-000355,Atixarso,"Krka, D.D., Novo Mesto"
356,EMA-000356,Atodrit-Dermo,Verisfield S.M.S.A
357,EMA-000357,Ator-Chol,Mediapharm Ltd
358,EMA-000358,Ator-Chol-Plus,Mediapharm Ltd
359,EMA-000359,Atorgon,Novendia Pharmaceuticals Ltd
360,EMA-000360,Atoridor,"Krka, D.D., Novo Mesto"
361,EMA-000361,Atorlip,"Lyofin Ltd, Greece"
362,EMA-000362,Atormax,Sja Pharm Ltd
363,EMA-000363,Atorplus,Sja Pharm Ltd
364,EMA-000364,Atorstat,Pharmapath Sa
365,EMA-000365,Atorval,Bennett Pharmaceuticals Sa
366,EMA-000366,Atorval Plus,Bennett Pharmaceuticals Sa
367,EMA-000367,Atorvalet,Lapapharm S.A.
368,EMA-000368,Atorvanox,Verisfield S.M.S.A
369,EMA-000369,Atorvastatin Mylan,Mylan Pharmaceuticals Limited
370,EMA-000370,Atorvastatin Sandoz,Sandoz Gmbh
371,EMA-000371,Atorvastatin Velka,Velka Hellas S.A.
372,EMA-000372,Atorvastatin/Kleva 10mg,Kleva Pharmaceuticals
373,EMA-000373,Atorvastatin/Kleva 20mg,Kleva Pharmaceuticals
374,EMA-000374,Atorvastatin/Kleva 40mg,Kleva Pharmaceuticals
375,EMA-000375,Atorvastatin+ezetimibe Win Medica,Win Medica Sa
376,EMA-000376,Atorzem,Pharmazac Sa
377,EMA-000377,Atostan,Innovis Pharma
378,EMA-000378,Atovaquone Vocate,Vocate Φαρμακευτικη Αε
379,EMA-000379,Atropine Sulfate Bradex,Bradex S.A.
380,EMA-000380,Atropine Sulfate Cooper,Cooper Pharmaceuticals S.A.
381,EMA-000381,Atropine Αρητη,Ariti Sa
382,EMA-000382,Atrost,Innovis Pharma
383,EMA-000383,Atrosterol,Vianex S.A.
384,EMA-000384,Atrovent,Boehringer Ingelheim Hellas Single Member S.A.
385,EMA-000385,Atrovent,Boehringer Ingelheim Hellas Single Member S.A.
386,EMA-000386,Atrovita,Faran S.A.
387,EMA-000387,Augmentin,Glaxosmithkline Single Member A.E.B.E.
388,EMA-000388,Augmentin,Glaxosmithkline Single Member A.E.B.E.
389,EMA-000389,Augmentin Mf,Glaxosmithkline Single Member A.E.B.E.
390,EMA-000390,Augmentin Mf (Γεύση Φρούτων),Glaxosmithkline Single Member A.E.B.E.
391,EMA-000391,Aurid,Innovis Pharma
392,EMA-000392,Aurid,Innovis Pharma
393,EMA-000393,Aurodren,Vian S.A.
394,EMA-000394,Auroxicam,Vian S.A.
395,EMA-000395,Auroxicam,Vian S.A.
396,EMA-000396,Avalsan,Iasis Pharma
397,EMA-000397,Avaxim,Sanofi Winthrop Industrie
398,EMA-000398,Avaxim Junior,Sanofi Winthrop Industrie
399,EMA-000399,Avelox,Bayer Hellas Sa
400,EMA-000400,Avelox,Bayer Hellas Sa
401,EMA-000401,Avidekel/ Tikun,Tikun Olam Greece S.A.
402,EMA-000402,Avielid,Libytec Pharmaceutical S.A.
403,EMA-000403,Avoclod,"Zentiva, K.S."
404,EMA-000404,Avodart,Glaxosmithkline Single Member A.E.B.E.
405,EMA-000405,Avomin,Genepharm S.A.
406,EMA-000406,Avotrin,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
407,EMA-000407,Awadik,Verisfield S.M.S.A
408,EMA-000408,Axavel,Genepharm S.A.
409,EMA-000409,Axedronate,Pharmazac Sa
410,EMA-000410,Axelabron,Pharma Therapis Single Member Pc
411,EMA-000411,Axelan,Nestoras Vlachos Pc Epsilon Health
412,EMA-000412,Axelovert,Pharmex S.A.
413,EMA-000413,Axhidrox,Dr. August Wolff Gmbh & Co. Kg Arzneimittel
414,EMA-000414,Axibal,Iasis Pharma
415,EMA-000415,Axitinib Faran,Faran S.A.
416,EMA-000416,Axitinib Sandoz,Sandoz Pharmaceuticals D.D.
417,EMA-000417,Axitinib Stada,Stada Arzneimittel Ag
418,EMA-000418,Axitinib Teva,Teva Gmbh
419,EMA-000419,Axium,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
420,EMA-000420,Axium-Opto,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
421,EMA-000421,Azacitidine Sandoz,Sandoz Pharmaceuticals D.D.
422,EMA-000422,Azacitidine Stada,Stada Arzneimittel Ag
423,EMA-000423,Azalonum,Medochemie Hellas Sa
424,EMA-000424,Azanex,Vianex S.A.
425,EMA-000425,Azapin,Innovis Pharma
426,EMA-000426,Azathioprine Farmasyn,Farmasyn S.A.
427,EMA-000427,Azathioprine Pharmachemie,Chemipharm S.G. De Tchaves & Cie E.E
428,EMA-000428,Azectol,Help Abee
429,EMA-000429,Azelastine+fluticasone Win Medica,Win Medica Sa
430,EMA-000430,Azelderm,Kleva Pharmaceuticals
